timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg
9242.00,-0.292,0.881,0.139,-0.568,-0.125,-0.743,-0.290
9265.00,-0.294,0.884,0.139,-0.608,-0.429,-0.742,-0.290
9288.00,-0.298,0.886,0.137,-0.761,-0.470,-0.747,-0.292
9311.00,-0.297,0.886,0.137,-0.691,-0.442,-0.744,-0.295
9334.00,-0.297,0.888,0.135,-0.677,-0.456,-0.743,-0.296
9357.00,-0.299,0.891,0.137,-0.734,-0.498,-0.745,-0.297
9380.00,-0.301,0.894,0.139,-0.622,-0.318,-0.744,-0.295
9403.00,-0.304,0.898,0.139,-0.816,-0.470,-0.748,-0.294
9426.00,-0.304,0.901,0.138,-0.718,-0.387,-0.748,-0.293
9448.00,-0.305,0.902,0.137,-0.733,-0.373,-0.749,-0.294
9471.00,-0.305,0.905,0.134,-0.706,-0.429,-0.748,-0.294
9494.00,-0.306,0.907,0.134,-0.677,-0.442,-0.748,-0.295
9517.00,-0.305,0.909,0.135,-0.691,-0.456,-0.745,-0.296
9540.00,-0.306,0.914,0.135,-0.774,-0.387,-0.747,-0.293
9563.00,-0.309,0.916,0.132,-0.707,-0.402,-0.749,-0.293
9586.00,-0.313,0.919,0.131,-0.679,-0.457,-0.752,-0.293
9609.00,-0.315,0.921,0.130,-0.678,-0.387,-0.752,-0.294
9632.00,-0.316,0.922,0.127,-0.663,-0.484,-0.751,-0.296
9655.00,-0.315,0.926,0.128,-0.637,-0.457,-0.748,-0.295
9677.00,-0.317,0.929,0.127,-0.788,-0.360,-0.751,-0.294
9700.00,-0.316,0.937,0.130,-0.747,-0.443,-0.750,-0.289
9723.00,-0.317,0.940,0.130,-0.678,-0.512,-0.750,-0.290
9746.00,-0.322,0.942,0.130,-0.720,-0.415,-0.753,-0.292
9769.00,-0.324,0.944,0.134,-0.649,-0.400,-0.754,-0.291
9792.00,-0.326,0.944,0.135,-0.707,-0.374,-0.754,-0.293
9815.00,-0.324,0.946,0.135,-0.691,-0.511,-0.752,-0.296
9838.00,-0.323,0.947,0.135,-0.762,-0.443,-0.751,-0.297
9861.00,-0.324,0.954,0.135,-0.596,-0.346,-0.749,-0.291
9884.00,-0.324,0.953,0.137,-0.651,-0.415,-0.747,-0.295
9907.00,-0.323,0.957,0.139,-0.734,-0.415,-0.745,-0.293
9929.00,-0.326,0.957,0.139,-0.718,-0.428,-0.747,-0.296
9952.00,-0.329,0.958,0.137,-0.707,-0.319,-0.749,-0.295
9975.00,-0.330,0.960,0.139,-0.691,-0.345,-0.749,-0.295
9998.00,-0.330,0.965,0.141,-0.720,-0.388,-0.749,-0.291
10021.00,-0.330,0.968,0.139,-0.637,-0.443,-0.747,-0.292
10044.00,-0.331,0.971,0.142,-0.815,-0.498,-0.749,-0.293
10067.00,-0.331,0.972,0.145,-0.734,-0.471,-0.749,-0.295
10090.00,-0.334,0.977,0.146,-0.691,-0.373,-0.751,-0.292
10113.00,-0.336,0.978,0.149,-0.719,-0.429,-0.751,-0.294
10136.00,-0.334,0.981,0.149,-0.555,-0.486,-0.746,-0.295
10159.00,-0.336,0.984,0.149,-0.664,-0.359,-0.746,-0.293
10181.00,-0.337,0.988,0.152,-0.691,-0.456,-0.746,-0.293
10204.00,-0.338,0.989,0.153,-0.788,-0.456,-0.748,-0.295
10227.00,-0.338,0.992,0.153,-0.692,-0.457,-0.747,-0.295
10250.00,-0.337,0.992,0.153,-0.747,-0.526,-0.746,-0.300
10273.00,-0.337,0.995,0.158,-0.761,-0.332,-0.746,-0.298
10296.00,-0.337,0.997,0.162,-0.664,-0.429,-0.744,-0.298
10319.00,-0.340,1.002,0.165,-0.720,-0.457,-0.747,-0.297
10342.00,-0.338,1.006,0.167,-0.677,-0.456,-0.744,-0.296
10365.00,-0.340,1.006,0.167,-0.706,-0.512,-0.745,-0.300
10388.00,-0.338,1.012,0.170,-0.719,-0.401,-0.743,-0.296
10410.00,-0.340,1.013,0.176,-0.663,-0.415,-0.742,-0.298
10433.00,-0.342,1.016,0.176,-0.789,-0.415,-0.746,-0.297
10456.00,-0.344,1.020,0.176,-0.692,-0.443,-0.746,-0.296
10479.00,-0.344,1.023,0.174,-0.761,-0.346,-0.747,-0.294
10502.00,-0.344,1.021,0.174,-0.664,-0.456,-0.745,-0.299
10525.00,-0.348,1.024,0.173,-0.789,-0.429,-0.750,-0.299
10548.00,-0.349,1.027,0.174,-0.679,-0.444,-0.750,-0.299
10571.00,-0.348,1.028,0.176,-0.707,-0.457,-0.748,-0.301
10594.00,-0.349,1.033,0.174,-0.720,-0.471,-0.749,-0.300
10617.00,-0.351,1.035,0.176,-0.596,-0.416,-0.747,-0.299
10640.00,-0.354,1.040,0.176,-0.691,-0.429,-0.749,-0.298
10662.00,-0.354,1.041,0.178,-0.665,-0.402,-0.747,-0.299
10685.00,-0.352,1.042,0.175,-0.804,-0.554,-0.747,-0.302
10708.00,-0.352,1.045,0.177,-0.720,-0.402,-0.746,-0.302
10731.00,-0.354,1.048,0.177,-0.748,-0.527,-0.747,-0.303
10754.00,-0.357,1.051,0.177,-0.692,-0.374,-0.749,-0.302
10777.00,-0.359,1.055,0.181,-0.636,-0.387,-0.750,-0.300
10800.00,-0.361,1.059,0.181,-0.665,-0.374,-0.749,-0.297
10823.00,-0.361,1.059,0.184,-0.651,-0.484,-0.747,-0.301
10846.00,-0.361,1.063,0.182,-0.677,-0.456,-0.746,-0.300
10869.00,-0.362,1.065,0.184,-0.650,-0.387,-0.745,-0.300
10892.00,-0.361,1.069,0.185,-0.720,-0.540,-0.744,-0.301
10914.00,-0.362,1.072,0.185,-0.720,-0.443,-0.744,-0.301
10937.00,-0.365,1.073,0.187,-0.747,-0.401,-0.747,-0.302
