timestamp_ms,gyrox_deg,gyroy_deg,gyroz_deg,accelx_deg,accely_deg,compfilterx_deg,compfiltery_deg,kalmanx_deg,kalmany_deg
5967.00,-0.100,0.443,0.036,-0.955,-0.733,-0.964,-0.578,-0.970,-0.737
5990.00,-0.100,0.446,0.036,-0.927,-0.747,-0.964,-0.579,-0.962,-0.739
6013.00,-0.104,0.452,0.037,-0.956,-0.762,-0.967,-0.577,-0.963,-0.742
6036.00,-0.107,0.455,0.037,-0.886,-0.720,-0.969,-0.577,-0.950,-0.739
6059.00,-0.104,0.455,0.038,-0.996,-0.678,-0.966,-0.579,-0.955,-0.730
6082.00,-0.105,0.459,0.038,-0.983,-0.831,-0.968,-0.580,-0.960,-0.748
6105.00,-0.107,0.465,0.038,-0.926,-0.733,-0.969,-0.577,-0.954,-0.745
6128.00,-0.108,0.467,0.040,-0.981,-0.691,-0.970,-0.577,-0.959,-0.735
6151.00,-0.109,0.469,0.041,-0.997,-0.692,-0.972,-0.578,-0.967,-0.728
6173.00,-0.109,0.470,0.038,-0.996,-0.650,-0.973,-0.578,-0.972,-0.714
6196.00,-0.109,0.474,0.037,-1.011,-0.775,-0.973,-0.578,-0.980,-0.723
6219.00,-0.111,0.476,0.034,-1.010,-0.747,-0.976,-0.580,-0.988,-0.728
6242.00,-0.111,0.477,0.033,-0.941,-0.692,-0.975,-0.581,-0.980,-0.722
6265.00,-0.112,0.483,0.034,-0.955,-0.706,-0.976,-0.578,-0.977,-0.716
6288.00,-0.115,0.487,0.034,-1.010,-0.789,-0.979,-0.578,-0.986,-0.728
6311.00,-0.115,0.488,0.033,-0.995,-0.691,-0.980,-0.579,-0.988,-0.722
6334.00,-0.116,0.490,0.029,-1.011,-0.776,-0.982,-0.581,-0.994,-0.733
6357.00,-0.118,0.491,0.029,-0.901,-0.693,-0.981,-0.582,-0.978,-0.727
6380.00,-0.119,0.491,0.026,-0.997,-0.692,-0.983,-0.584,-0.983,-0.722
6403.00,-0.118,0.494,0.023,-1.009,-0.733,-0.982,-0.584,-0.986,-0.723
6425.00,-0.118,0.498,0.024,-0.969,-0.706,-0.982,-0.583,-0.983,-0.718
6448.00,-0.118,0.499,0.023,-1.010,-0.747,-0.982,-0.585,-0.989,-0.724
6471.00,-0.119,0.499,0.022,-0.997,-0.720,-0.984,-0.588,-0.992,-0.725
6494.00,-0.121,0.504,0.020,-0.955,-0.706,-0.985,-0.586,-0.986,-0.720
6517.00,-0.123,0.505,0.020,-0.983,-0.789,-0.988,-0.588,-0.988,-0.733
6540.00,-0.125,0.505,0.022,-0.955,-0.747,-0.988,-0.592,-0.982,-0.739
6563.00,-0.123,0.509,0.022,-0.996,-0.747,-0.987,-0.591,-0.983,-0.740
6586.00,-0.122,0.512,0.022,-1.023,-0.760,-0.987,-0.591,-0.989,-0.744
6609.00,-0.122,0.513,0.020,-0.955,-0.733,-0.986,-0.593,-0.983,-0.744
6632.00,-0.122,0.515,0.019,-0.969,-0.706,-0.986,-0.594,-0.980,-0.739
6655.00,-0.122,0.518,0.019,-1.025,-0.665,-0.986,-0.592,-0.988,-0.724
6677.00,-0.122,0.520,0.019,-1.051,-0.733,-0.988,-0.593,-1.000,-0.725
6700.00,-0.123,0.525,0.017,-0.955,-0.775,-0.988,-0.592,-0.994,-0.732
6723.00,-0.125,0.527,0.017,-0.913,-0.705,-0.988,-0.592,-0.980,-0.727
6746.00,-0.125,0.530,0.017,-1.051,-0.788,-0.989,-0.593,-0.992,-0.738
6769.00,-0.125,0.533,0.016,-0.914,-0.706,-0.988,-0.592,-0.977,-0.733
6792.00,-0.125,0.533,0.019,-0.969,-0.789,-0.988,-0.596,-0.975,-0.746
6815.00,-0.123,0.534,0.020,-0.941,-0.692,-0.985,-0.597,-0.966,-0.737
6838.00,-0.123,0.536,0.022,-0.899,-0.706,-0.984,-0.598,-0.951,-0.732
6861.00,-0.123,0.539,0.024,-1.079,-0.664,-0.985,-0.596,-0.973,-0.718
6884.00,-0.123,0.543,0.026,-0.926,-0.705,-0.984,-0.594,-0.963,-0.713
6907.00,-0.123,0.550,0.027,-1.051,-0.719,-0.986,-0.590,-0.979,-0.709
6929.00,-0.123,0.552,0.030,-0.954,-0.677,-0.985,-0.589,-0.974,-0.701
6952.00,-0.122,0.557,0.031,-0.954,-0.636,-0.983,-0.586,-0.969,-0.685
6975.00,-0.121,0.561,0.031,-0.927,-0.706,-0.980,-0.584,-0.959,-0.685
6998.00,-0.123,0.564,0.031,-0.956,-0.776,-0.983,-0.585,-0.960,-0.700
7021.00,-0.123,0.568,0.030,-1.039,-0.762,-0.984,-0.584,-0.974,-0.709
7044.00,-0.121,0.571,0.030,-0.995,-0.747,-0.981,-0.585,-0.976,-0.716
7067.00,-0.122,0.574,0.028,-0.901,-0.776,-0.981,-0.586,-0.963,-0.728
7090.00,-0.122,0.576,0.028,-0.984,-0.762,-0.981,-0.587,-0.966,-0.736
7113.00,-0.121,0.582,0.028,-1.025,-0.762,-0.981,-0.585,-0.976,-0.741
7136.00,-0.119,0.585,0.028,-0.954,-0.733,-0.979,-0.585,-0.971,-0.742
